PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
14.0,21.0,18.0,22.0,16.0,9.0,12.0,0,0,1
16.0,14.0,17.0,27.0,12.0,16.0,13.0,0,0,1
12.0,16.0,21.0,31.0,9.0,16.0,15.0,0,0,1
9.0,12.0,14.0,31.0,16.0,12.0,18.0,0,0,1
16.0,9.0,16.0,18.0,16.0,12.0,20.0,0,0,1
16.0,16.0,12.0,17.0,12.0,13.0,21.0,0,0,1
12.0,16.0,9.0,21.0,12.0,15.0,28.0,0,0,1
12.0,12.0,16.0,14.0,13.0,18.0,25.0,0,0,1
13.0,12.0,16.0,16.0,15.0,20.0,27.0,0,0,1
15.0,13.0,12.0,12.0,18.0,21.0,39.0,0,0,1
18.0,15.0,12.0,9.0,20.0,28.0,50.0,0,0,1
20.0,18.0,13.0,16.0,21.0,25.0,46.0,0,0,1
21.0,20.0,15.0,16.0,28.0,27.0,44.0,0,0,1
28.0,21.0,18.0,12.0,25.0,39.0,48.0,0,0,1
25.0,28.0,20.0,12.0,27.0,50.0,55.0,0,0,1
27.0,25.0,21.0,13.0,39.0,46.0,35.0,0,0,1
39.0,27.0,28.0,15.0,50.0,44.0,20.0,0,0,1
50.0,39.0,25.0,18.0,46.0,48.0,23.0,0,0,1
46.0,50.0,27.0,20.0,44.0,55.0,17.0,0,0,1
44.0,46.0,39.0,21.0,48.0,35.0,18.0,0,0,1
48.0,44.0,50.0,28.0,55.0,20.0,19.0,0,0,1
55.0,48.0,46.0,25.0,35.0,23.0,31.0,0,0,1
35.0,55.0,44.0,27.0,20.0,17.0,37.0,0,0,1
20.0,35.0,48.0,39.0,23.0,18.0,41.0,0,0,1
23.0,20.0,55.0,50.0,17.0,19.0,36.0,0,0,1
17.0,23.0,35.0,46.0,18.0,31.0,29.0,0,0,1
18.0,17.0,20.0,44.0,19.0,37.0,28.0,0,0,1
19.0,18.0,23.0,48.0,31.0,41.0,18.0,0,0,1
31.0,19.0,17.0,55.0,37.0,36.0,25.0,0,0,1
37.0,31.0,18.0,35.0,41.0,29.0,25.0,0,0,1
41.0,37.0,19.0,20.0,36.0,28.0,17.0,0,0,1
36.0,41.0,31.0,23.0,29.0,18.0,20.0,0,0,1
29.0,36.0,37.0,17.0,28.0,25.0,23.0,0,0,1
28.0,29.0,41.0,18.0,18.0,25.0,38.0,0,0,1
18.0,28.0,36.0,19.0,25.0,17.0,36.0,0,0,1
25.0,18.0,29.0,31.0,25.0,20.0,28.0,0,0,1
25.0,25.0,28.0,37.0,17.0,23.0,32.0,0,0,1
17.0,25.0,18.0,41.0,20.0,38.0,25.0,0,0,1
20.0,17.0,25.0,36.0,23.0,36.0,21.0,0,0,1
23.0,20.0,25.0,29.0,38.0,28.0,18.0,0,0,1
38.0,23.0,17.0,28.0,36.0,32.0,25.0,0,0,1
